Position,Name,Team,Opponent,Game Time,Avg Fantasy Points,Price,Starter,Injury Status
PF,Jonas Jerebko,DET,DET @ SAS, 8:30 PM,5.8,5000,"",
SG-SF,Adonis Thomas,ORL,ORL @ PHI, 7:00 PM,0,5000,"",
PG,Earl Watson,POR,POR vs BKN,10:00 PM,2.1,5000,"",
C,Jason Collins,BKN,BKN @ POR,10:00 PM,2.5,5000,"",
SG,Allen Crabbe,POR,POR vs BKN,10:00 PM,2.7,5000,"",
SF,Luigi Datome,DET,DET @ SAS, 8:30 PM,4.6,5000,"",
C,Nerlens Noel,PHI,PHI vs ORL, 7:00 PM,0,5000,"",OUT
PG,Gal Mekel,DAL,DAL vs NOP, 8:00 PM,5.9,5000,"",OUT
SG,Jason Richardson,PHI,PHI vs ORL, 7:00 PM,0,5000,"",OUT
PG,Marquis Teague,BKN,BKN @ POR,10:00 PM,5.8,5000,"",
C,Meyers Leonard,POR,POR vs BKN,10:00 PM,7.3,5000,"",OUT
SF,Darius Miller,NOP,NOP @ DAL, 8:00 PM,6.3,5000,"",
PG,John Lucas III,UTA,UTA vs PHO, 9:00 PM,7.6,5000,"",
PF,Brandon Davies,PHI,PHI vs ORL, 7:00 PM,6.4,5000,"",OUT
PG,Ronnie Price,ORL,ORL @ PHI, 7:00 PM,6.9,5000,"",
C,Jeff Withey,NOP,NOP @ DAL, 8:00 PM,6.5,5000,"",
PG,Peyton Siva,DET,DET @ SAS, 8:30 PM,1.6,5000,"",
C,Dewayne Dedmon,ORL,ORL @ PHI, 7:00 PM,7.5,5000,"",
C,Andris Biedrins,UTA,UTA vs PHO, 9:00 PM,3.7,5000,"",
C,Viacheslav Kravtsov,PHO,PHO @ UTA, 9:00 PM,1.9,5000,"",
C,Vitor Faverani,BOS,BOS vs ATL, 7:30 PM,10.5,5000,"",OUT
SG,Archie Goodwin,PHO,PHO @ UTA, 9:00 PM,6.5,5000,"",
PG,Shane Larkin,DAL,DAL vs NOP, 8:00 PM,7.0,5000,"",
PG,Dennis Schroder,ATL,ATL @ BOS, 7:30 PM,7.1,5000,"",
SG,John Jenkins,ATL,ATL @ BOS, 7:30 PM,5.9,5000,"",OUT
SG-SF,Keith Bogans,BOS,BOS vs ATL, 7:30 PM,3.5,5000,"",OUT
C,Joel Anthony,BOS,BOS vs ATL, 7:30 PM,2.6,5000,"",
C,Dexter Pittman,ATL,ATL @ BOS, 7:30 PM,3.8,5000,"",
SG,CJ McCollum,POR,POR vs BKN,10:00 PM,9.3,5000,"",
PF-C,Joel Freeland,POR,POR vs BKN,10:00 PM,9.8,5000,"",OUT
PF,Ed Davis,MEM,MEM vs LAL, 8:00 PM,13.4,5000,"",
PF,Jason Maxiell,ORL,ORL @ PHI, 7:00 PM,8.3,5000,"",
PF,Malcolm Thomas,UTA,UTA vs PHO, 9:00 PM,7.3,5000,"",
PF,Tony Mitchell,DET,DET @ SAS, 8:30 PM,2.3,5000,"",
C,Emeka Okafor,PHO,PHO @ UTA, 9:00 PM,0,5000,"",OUT
SG,Willie Green,LAC,LAC vs HOU,10:30 PM,8.4,5000,"",
PF,Greg Smith,HOU,HOU @ LAC,10:30 PM,6.6,5000,"",
C,Ryan Hollins,LAC,LAC vs HOU,10:30 PM,5.0,5000,"",
SF,Quincy Pondexter,MEM,MEM vs LAL, 8:00 PM,10.3,5000,"",OUT
SG,Reggie Bullock,LAC,LAC vs HOU,10:30 PM,4.0,5000,"",
SG,Ricky Ledo,DAL,DAL vs NOP, 8:00 PM,2.2,5000,"",
C,Bernard James,DAL,DAL vs NOP, 8:00 PM,3.8,5000,"",
PF,Robert Covington,HOU,HOU @ LAC,10:30 PM,3.1,5000,"",
SG,Leandro Barbosa,PHO,PHO @ UTA, 9:00 PM,12.8,5000,"",OUT
PG,Isaiah Canaan,HOU,HOU @ LAC,10:30 PM,1.9,5000,"",
C,Rudy Gobert,UTA,UTA vs PHO, 9:00 PM,9.8,5000,"",
C,Hasheem Thabeet,OKC,OKC vs CLE, 8:00 PM,3.2,5000,"",
SG-SF,Carrick Felix,CLE,CLE @ OKC, 8:00 PM,2.1,5000,"",OUT
SG,Ian Clark,UTA,UTA vs PHO, 9:00 PM,5.8,5000,"",
PF,Charlie Villanueva,DET,DET @ SAS, 8:30 PM,7.6,5000,"",
SG,Sergey Karasev,CLE,CLE @ OKC, 8:00 PM,3.7,5000,"",
PF-C,Arinze Onuaku,CLE,CLE @ OKC, 8:00 PM,5.1,5000,"",
PG-SG,Chauncey Billups,DET,DET @ SAS, 8:30 PM,8.6,5000,"",OUT
SG,Brandon Rush,UTA,UTA vs PHO, 9:00 PM,5.0,5000,"",
PF,Jeff Ayres,SAS,SAS vs DET, 8:30 PM,8.9,5000,"",
SG-SF,Andre Roberson,OKC,OKC vs CLE, 8:00 PM,5.2,5000,"",
SG,Kentavious Caldwell-Pope,DET,DET @ SAS, 8:30 PM,11.6,5000,"",
SF,Alonzo Gee,CLE,CLE @ OKC, 8:00 PM,7.9,5000,"",
PF-C,Josh Harrellson,DET,DET @ SAS, 8:30 PM,7.6,5000,"",
SF,Austin Daye,SAS,SAS vs DET, 8:30 PM,2.5,5000,"",
